"","score","text"
"1",1,"RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …"
"2",1,"RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …"
"3",1,"RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …"
"4",0,"RT @prazhunt: @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/GhrFcJ9BDH #abdsc
Visual #Analyti…"
"5",0,"RT @prazhunt: ""@KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/1iqWvbsd0l #abdsc #Rstats #DataScience via @DataScie…"
"6",0,"RT @MindAfterMath: Learn Math Through Set Relations http://t.co/br2PrgVdyD #compsci  #datascience #math #stem #mathchat"
"7",0,"Learn Math Through Set Relations http://t.co/br2PrgVdyD #compsci  #datascience #math #stem #mathchat"
"8",0,"""@KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/1iqWvbsd0l #abdsc #Rstats #DataScience via @DataScienceCtrl"""
"9",0,"@KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/GhrFcJ9BDH #abdsc
Visual #Analytics #DataScience"
"10",0,"RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…"
"11",1,"RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …"
"12",1,"Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and #cloudcomputing"
"13",0,"RT arnab_majumdar Machine consciousness: Big data analytics and the Internet of Things - http://t.co/VMTo7xgMEG #datascience"
"14",0,"RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…"
"15",0,"RT @ekimetrics: So you want to be #DataScientist? via http://t.co/kWd4TBsntv  #DataScience #BigData #Dataviz #MachinLearning #IoT #AI http:…"
"16",1,"RT @SLHBENNETT: What does responsible human-machine integration look like? #datascience #design #ethics @TheSocialQuant @dr_morton http://t…"
"17",0,"RT @JulioTrujillo_: #BigData Explained in Less Than 2 Minutes! @BernardMarr vía @TOOLS_BOX_IND #datascience 
http://t.co/yIhoCNN7CO http://…"
"18",0,"RT @AngelaZutavern: Hacker's guide to neural networks via @karpathy http://t.co/RfYJnDrodD H/T @joshdsullivan #datascience #deeplearning ht…"
"19",0,"Machine consciousness: Big data analytics and the Internet of Things - http://t.co/jxS53FKbpu #datascience"
"20",1,"BrianCozzolino: RT Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/gv9ZDUfpQ2 #datascience #BigData …"
"21",1,"BigRahimBigData: RT Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/gv9ZDUfpQ2 #datascience #BigData…"
"22",1,"softwareguru1: RT Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/gv9ZDUfpQ2 #datascience #BigData #…"
