"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …",FALSE,0,NA,2015-03-29 08:08:49,FALSE,NA,"582092030924423168",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">appXesco</a>","aleson_es",4,TRUE,FALSE,NA,NA
"2","RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …",FALSE,0,NA,2015-03-29 08:08:10,FALSE,NA,"582091865954095105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iconnectme5",4,TRUE,FALSE,NA,NA
"3","RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …",FALSE,0,NA,2015-03-29 08:07:34,FALSE,NA,"582091716989231105",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",4,TRUE,FALSE,NA,NA
"4","RT @prazhunt: @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/GhrFcJ9BDH #abdsc
Visual #Analyti…",FALSE,0,NA,2015-03-29 08:07:34,FALSE,NA,"582091715512795136",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",1,TRUE,FALSE,NA,NA
"5","RT @prazhunt: ""@KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/1iqWvbsd0l #abdsc #Rstats #DataScience via @DataScie…",FALSE,0,NA,2015-03-29 08:07:34,FALSE,NA,"582091714699100160",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",1,TRUE,FALSE,NA,NA
"6","RT @MindAfterMath: Learn Math Through Set Relations http://t.co/br2PrgVdyD #compsci  #datascience #math #stem #mathchat",FALSE,0,NA,2015-03-29 08:07:33,FALSE,NA,"582091713918971904",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",1,TRUE,FALSE,NA,NA
"7","Learn Math Through Set Relations http://t.co/br2PrgVdyD #compsci  #datascience #math #stem #mathchat",FALSE,1,NA,2015-03-29 08:06:22,FALSE,NA,"582091412726005760",NA,"<a href=""http://winthecustomer.com/"" rel=""nofollow"">Win the Customer</a>","MindAfterMath",1,FALSE,FALSE,NA,NA
"8","""@KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/1iqWvbsd0l #abdsc #Rstats #DataScience via @DataScienceCtrl""",FALSE,0,NA,2015-03-29 08:04:07,FALSE,NA,"582090847681822720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prazhunt",1,FALSE,FALSE,"82.2243269","16.9690163"
"9","@KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/GhrFcJ9BDH #abdsc
Visual #Analytics #DataScience",FALSE,2,"KirkDBorne",2015-03-29 08:03:22,FALSE,NA,"582090657109446656","534563976","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prazhunt",1,FALSE,FALSE,"82.224327","16.9690163"
"10","RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…",FALSE,0,NA,2015-03-29 08:03:07,FALSE,NA,"582090596841439233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prazhunt",11,TRUE,FALSE,NA,NA
"11","RT @VBrissat: Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and …",FALSE,0,NA,2015-03-29 08:00:24,FALSE,NA,"582089911395831808",NA,"<a href=""http://www.visicomscientific.com"" rel=""nofollow"">SnapShopPro</a>","softwareguru1",4,TRUE,FALSE,NA,NA
"12","Saw #Chappie : interesting point of view. We are close to real #ArtificialIntelligence, thanks to #bigData, #DataScience and #cloudcomputing",FALSE,4,NA,2015-03-29 07:56:20,FALSE,NA,"582088887872421888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","VBrissat",4,FALSE,FALSE,NA,NA
"13","RT arnab_majumdar Machine consciousness: Big data analytics and the Internet of Things - http://t.co/VMTo7xgMEG #datascience",FALSE,2,NA,2015-03-29 07:54:08,FALSE,NA,"582088337340669952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","arcvision_kol",0,FALSE,FALSE,NA,NA
"14","RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…",FALSE,0,NA,2015-03-29 07:53:02,FALSE,NA,"582088056863350784",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","twittmonique",11,TRUE,FALSE,NA,NA
"15","RT @ekimetrics: So you want to be #DataScientist? via http://t.co/kWd4TBsntv  #DataScience #BigData #Dataviz #MachinLearning #IoT #AI http:…",FALSE,0,NA,2015-03-29 07:52:18,FALSE,NA,"582087873387577345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mchoirul",138,TRUE,FALSE,NA,NA
"16","RT @SLHBENNETT: What does responsible human-machine integration look like? #datascience #design #ethics @TheSocialQuant @dr_morton http://t…",FALSE,0,NA,2015-03-29 07:51:56,FALSE,NA,"582087783520428033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RockDocInLV",51,TRUE,FALSE,NA,NA
"17","RT @JulioTrujillo_: #BigData Explained in Less Than 2 Minutes! @BernardMarr vía @TOOLS_BOX_IND #datascience 
http://t.co/yIhoCNN7CO http://…",FALSE,0,NA,2015-03-29 07:51:14,FALSE,NA,"582087606944567296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TOOLS_BOX_IND",10,TRUE,FALSE,NA,NA
"18","RT @AngelaZutavern: Hacker's guide to neural networks via @karpathy http://t.co/RfYJnDrodD H/T @joshdsullivan #datascience #deeplearning ht…",FALSE,0,NA,2015-03-29 07:45:19,FALSE,NA,"582086116234260480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vcjha",8,TRUE,FALSE,NA,NA
